,ACTR3B,ANLN,BAG1,BCL2,BIRC5,BLVRA,CCNB1,CCNE1,CDC20,CDC6,CDCA1,CDH3,CENPF,CEP55,CXXC5,EGFR,ERBB2,ESR1,EXO1,FGFR4,FOXA1,FOXC1,GPR160,GRB7,KIF2C,KNTC2,KRT14,KRT17,KRT5,MAPT,MDM2,MELK,MIA,MKI67,MLPH,MMP11,MYBL2,MYC,NAT1,ORC6L,PGR,PHGDH,PTTG1,RRM2,SFRP1,SLC39A6,TMEM45B,TYMS,UBE2C,UBE2T
1,-1.151,-3.736,0.26,1.3,-2.86,-0.569,-2.9810000000000003,-1.962,-1.28,-2.6489999999999996,-4.614,1.8330000000000002,-1.8530000000000002,-4.33,0.076,0.091,0.489,-0.373,-2.145,-0.04,0.33299999999999996,0.905,-0.813,0.961,-2.248,-3.64,3.042,2.364,2.4930000000000003,0.33399999999999996,1.2309999999999999,-2.454,2.282,-1.76,1.9140000000000001,-0.094,-2.296,-0.591,0.8140000000000001,-2.272,0.794,-1.0270000000000001,-2.65,-3.928,3.1060000000000003,-1.138,-2.093,-4.36,-1.4480000000000002,-3.3819999999999997
2,-0.485,-3.739,0.591,1.58,-3.25,-0.5329999999999999,-2.935,-1.0859999999999999,-1.712,-2.758,-1.929,1.767,-2.1790000000000003,-3.54,0.653,-0.19,0.364,1.953,-3.0069999999999997,-0.01,1.215,-0.10099999999999999,0.17300000000000001,1.003,-1.284,-4.101,3.3739999999999997,2.044,1.238,-0.013999999999999999,0.506,-2.737,3.9389999999999996,-1.45,1.646,-0.085,-2.802,-0.392,1.857,-2.5340000000000003,1.386,-0.988,-2.386,-4.659,3.6689999999999996,0.048,-0.9329999999999999,-4.05,-2.615,-2.7460000000000004
3,0.298,-2.8480000000000003,0.359,1.2919999999999998,-2.4930000000000003,-0.687,-2.81,-1.194,-1.084,-2.5340000000000003,-1.235,1.4780000000000002,-1.814,-2.89,0.071,0.25,0.509,0.79,-2.008,0.06,1.205,1.649,-0.348,0.938,-1.3219999999999998,-2.741,3.0410000000000004,1.526,2.253,0.34,1.023,-2.416,1.686,-1.31,1.8119999999999998,-0.526,-2.303,0.336,-0.061,-2.526,0.428,-0.7290000000000001,-1.6580000000000001,-3.77,3.2680000000000002,-0.7959999999999999,-1.909,-2.86,-0.708,-2.7439999999999998
4,1.153,-4.717,0.098,1.954,-3.237,-0.535,-3.5580000000000003,-2.185,-1.774,-3.892,-3.466,1.236,-2.0669999999999997,-4.78,-0.354,0.037000000000000005,0.607,-0.414,-3.299,-0.69,-3.417,1.926,-1.49,1.1540000000000001,-2.91,-3.9210000000000003,3.234,1.7009999999999998,1.3330000000000002,0.433,0.449,-3.819,0.909,-2.24,2.697,-0.932,-2.8939999999999997,-0.799,-0.9059999999999999,-3.0210000000000004,0.638,-0.5429999999999999,-2.8280000000000003,-4.5360000000000005,3.35,-2.167,-3.2739999999999996,-4.12,-2.065,-3.742
5,-0.287,-3.681,0.441,1.911,-2.156,-0.965,-2.8689999999999998,-1.129,-1.43,-3.362,-2.108,1.256,-2.56,-3.29,-0.14800000000000002,-0.278,0.7609999999999999,-0.488,-3.052,0.49,1.005,0.233,0.22,1.158,-1.284,-3.58,2.978,1.21,1.422,-0.109,0.794,-2.7960000000000003,2.449,-1.49,2.113,-0.5,-2.41,-0.20199999999999999,0.266,-2.379,1.413,-1.07,-2.248,-3.798,3.175,-1.054,-0.597,-3.8,-1.847,-2.575
6,1.082,-4.544,0.037000000000000005,0.8140000000000001,-3.807,-0.562,-3.406,-1.989,-2.53,-4.426,-3.408,1.63,-2.315,-4.6,-0.017,0.09699999999999999,0.862,0.613,-3.681,-1.35,-0.37200000000000005,0.9009999999999999,-0.332,0.887,-3.193,-4.025,3.201,1.228,1.179,0.18899999999999997,-0.267,-3.738,2.219,-2.45,1.396,-0.602,-3.241,0.34700000000000003,-0.192,-3.832,0.755,-0.754,-3.0639999999999996,-4.644,3.7489999999999997,-0.8140000000000001,-2.717,-3.53,-2.294,-3.326
7,0.691,-4.386,-0.141,0.386,-3.656,-0.733,-2.8539999999999996,-0.97,-2.377,-2.822,-3.261,1.311,-1.127,-3.68,0.265,0.22899999999999998,0.237,0.155,-2.452,-0.28,0.222,1.506,-0.23,0.59,-2.04,-3.721,2.784,1.2309999999999999,1.4169999999999998,0.064,-0.402,-2.7230000000000003,1.996,-2.02,0.838,-0.133,-2.826,0.445,-0.319,-2.5269999999999997,0.063,-0.8590000000000001,-2.821,-4.051,3.555,0.08800000000000001,-2.004,-3.96,-1.686,-3.158
8,-0.483,-4.756,-0.035,2.23,-4.553999999999999,-0.256,-3.475,-2.022,-0.564,0.0,-2.229,2.048,-2.318,0.0,-0.278,0.858,0.847,-0.654,-3.2430000000000003,-0.8,0.708,0.8540000000000001,-1.631,1.393,-4.093999999999999,-4.345,1.4980000000000002,2.891,2.215,0.41700000000000004,1.5030000000000001,-4.158,2.176,-2.49,2.609,0.073,-3.409,-1.168,1.496,0.0,1.085,-1.526,-3.668,-5.0169999999999995,2.101,-2.166,-1.349,-4.48,-1.6769999999999998,-3.989
9,-0.649,0.0,0.242,1.7819999999999998,-4.918,0.187,-4.285,-1.5819999999999999,-0.981,0.0,-2.03,1.536,-2.582,0.0,0.1,0.654,0.789,1.6869999999999998,-3.556,-0.47,1.614,0.55,-1.614,1.28,-3.638,-4.8180000000000005,1.156,2.694,1.915,0.303,0.439,0.0,2.283,-2.66,2.028,-0.114,-3.5639999999999996,-2.322,1.446,-3.2769999999999997,1.05,-1.847,-3.925,-5.082,0.9279999999999999,-1.045,-2.542,-4.51,-1.891,-4.0
10,1.136,-3.3539999999999996,0.247,0.45399999999999996,-3.747,0.121,-2.5860000000000003,-1.676,-1.6469999999999998,-3.227,-3.344,1.696,-2.2880000000000003,-4.8,-0.946,0.46299999999999997,0.11800000000000001,1.166,-2.488,-0.94,0.26899999999999996,1.546,-0.22699999999999998,0.496,-2.955,-3.3739999999999997,1.916,1.675,1.746,0.42,-0.09300000000000001,-3.051,1.745,-2.01,1.306,-0.885,-3.173,-0.049,0.048,-3.0389999999999997,0.023,-1.163,-2.752,-4.331,2.787,-0.552,-2.38,-4.25,-1.781,-3.197
