param,value
z_001,1.0
z_002,1.0
z_003,1.0
z_004,0.0
z_005,1.0
z_006,0.0
z_007,1.0
z_008,0.0
z_009,0.0
z_010,0.0
z_011,1.0
z_012,1.0
z_013,1.0
z_014,0.0
z_015,0.0
z_016,0.0
z_017,1.0
z_018,1.0
z_019,1.0
z_020,0.0
z_021,0.0
z_022,0.0
z_023,0.0
z_024,1.0
z_025,1.0
z_026,1.0
z_027,0.0
z_028,1.0
z_029,1.0
z_030,1.0
z_031,1.0
z_032,0.0
z_033,1.0
z_034,1.0
z_035,1.0
z_036,1.0
z_037,0.0
z_038,0.0
z_039,0.0
z_040,0.0
z_041,0.0
z_042,0.0
z_043,1.0
z_044,0.0
z_045,0.0
z_046,1.0
z_047,0.0
z_048,0.0
z_049,0.0
z_050,0.0
z_051,0.0
z_052,0.0
z_053,0.0
z_054,1.0
z_055,0.0
z_056,0.0
z_057,1.0
z_058,0.0
z_059,0.0
z_060,0.0
z_061,0.0
z_062,0.0
z_063,0.0
z_064,0.0
z_065,0.0
z_066,0.0
z_067,0.0
z_068,0.0
z_069,0.0
z_070,0.0
z_071,1.0
z_072,0.0
z_073,1.0
z_074,0.0
z_075,0.0
z_076,1.0
z_077,0.0
z_078,1.0
z_079,1.0
z_080,0.0
z_081,0.0
z_082,0.0
z_083,1.0
z_084,1.0
z_085,0.0
z_086,1.0
z_087,0.0
z_088,1.0
z_089,0.0
z_090,0.0
z_091,0.0
z_092,0.0
z_093,0.0
z_094,0.0
z_095,0.0
z_096,1.0
z_097,0.0
z_098,0.0
z_099,0.0
z_100,0.0
z_101,0.0
z_102,0.0
z_103,0.0
z_104,0.0
z_105,0.0
z_106,0.0
z_107,0.0
z_108,0.0
z_109,1.0
z_110,0.0
z_111,0.0
z_112,0.0
z_113,0.0
z_114,0.0
z_115,0.0
z_116,0.0
z_117,0.0
z_118,1.0
z_119,1.0
z_120,1.0
z_121,0.0
z_122,1.0
z_123,1.0
z_124,0.0
z_125,0.0
z_126,0.0
z_127,0.0
z_128,1.0
z_129,0.0
z_130,1.0
z_131,0.0
z_132,1.0
z_133,1.0
z_134,0.0
z_135,1.0
z_136,0.0
z_137,0.0
z_138,0.0
z_139,0.0
z_140,0.0
z_141,0.0
z_142,1.0
z_143,0.0
z_144,0.0
z_145,0.0
z_146,0.0
