param,value
z_001,2.0
z_002,0.0
z_003,2.0
z_004,2.0
z_005,0.0
z_006,2.0
z_007,2.0
z_008,2.0
z_009,0.0
z_010,0.0
z_011,2.0
z_012,2.0
z_013,2.0
z_014,0.0
z_015,2.0
z_016,2.0
z_017,2.0
z_018,2.0
z_019,2.0
z_020,0.0
z_021,2.0
z_022,0.0
z_023,0.0
z_024,0.0
z_025,0.0
z_026,0.0
z_027,2.0
z_028,2.0
z_029,0.0
z_030,0.0
z_031,2.0
z_032,2.0
z_033,0.0
z_034,2.0
z_035,2.0
z_036,0.0
z_037,0.0
z_038,0.0
z_039,0.0
z_040,2.0
z_041,0.0
z_042,0.0
z_043,2.0
z_044,0.0
z_045,0.0
z_046,2.0
z_047,2.0
z_048,0.0
z_049,2.0
z_050,2.0
z_051,0.0
z_052,2.0
z_053,2.0
z_054,2.0
z_055,2.0
z_056,2.0
z_057,2.0
z_058,2.0
z_059,2.0
z_060,1.0
z_061,1.0
z_062,1.0
z_063,1.0
z_064,1.0
z_065,1.0
z_066,1.0
z_067,1.0
z_068,1.0
z_069,0.0
z_070,2.0
z_071,0.0
z_072,1.0
z_073,1.0
z_074,1.0
z_075,0.0
z_076,1.0
z_077,1.0
z_078,0.0
z_079,1.0
z_080,1.0
z_081,1.0
z_082,1.0
z_083,1.0
z_084,1.0
z_085,1.0
z_086,1.0
z_087,1.0
z_088,1.0
z_089,1.0
z_090,1.0
z_091,1.0
z_092,1.0
z_093,1.0
z_094,1.0
z_095,1.0
z_096,2.0
z_097,0.0
z_098,1.0
z_099,1.0
z_100,1.0
z_101,1.0
z_102,1.0
z_103,1.0
z_104,1.0
z_105,1.0
z_106,1.0
z_107,1.0
z_108,1.0
z_109,1.0
z_110,1.0
z_111,0.0
z_112,1.0
z_113,1.0
z_114,1.0
z_115,1.0
z_116,1.0
z_117,1.0
z_118,0.0
z_119,1.0
z_120,1.0
z_121,1.0
z_122,0.0
z_123,1.0
z_124,1.0
z_125,1.0
z_126,1.0
z_127,1.0
z_128,1.0
z_129,1.0
z_130,1.0
z_131,0.0
z_132,1.0
z_133,1.0
z_134,0.0
z_135,1.0
z_136,1.0
z_137,1.0
z_138,1.0
z_139,1.0
z_140,1.0
z_141,1.0
z_142,1.0
z_143,1.0
z_144,1.0
z_145,0.0
z_146,0.0
z_147,1.0
z_148,1.0
z_149,1.0
z_150,0.0
z_151,0.0
z_152,0.0
z_153,0.0
z_154,0.0
z_155,0.0
z_156,1.0
z_157,1.0
z_158,0.0
z_159,0.0
z_160,1.0
z_161,1.0
z_162,0.0
z_163,0.0
z_164,0.0
z_165,1.0
z_166,1.0
z_167,0.0
z_168,1.0
z_169,0.0
z_170,0.0
z_171,1.0
z_172,1.0
z_173,1.0
z_174,0.0
z_175,0.0
z_176,0.0
z_177,0.0
z_178,1.0
m_1-1,13.092634572711846
m_1-2,2.237379896033609
m_1-3,3.3943126146330167
m_1-4,19.33322333915353
m_1-5,102.7345283763563
m_1-6,4.006111955850647
m_1-7,2.4120662756912647
m_1-8,0.1469990727795975
m_1-9,1.2827313936071436
m_1-10,5.853726431794633
m_1-11,1.2691003878277485
m_1-12,3.2268034263205125
m_1-13,731.3554478962001
m_2-1,12.624701693721793
m_2-2,2.0383566118355674
m_2-3,2.9873844139564247
m_2-4,20.396165347587374
m_2-5,93.13439739438822
m_2-6,2.079538047827357
m_2-7,1.6611029491973426
m_2-8,-0.12876506571644186
m_2-9,2.4619551425871897
m_2-10,4.346864604488314
m_2-11,0.6922379706802643
m_2-12,2.8101069903845444
m_2-13,459.17683498825266
m_3-1,13.624828727556142
m_3-2,1.4162626226829829
m_3-3,2.924117610741257
m_3-4,16.20818944684533
m_3-5,104.3721971186765
m_3-6,5.449733665159273
m_3-7,3.0526290203367825
m_3-8,0.6803759541978396
m_3-9,2.2430343752506583
m_3-10,5.377145396013542
m_3-11,2.2460346462168066
m_3-12,4.324009746626735
m_3-13,1200.5678676912742
cov_1-1-1,7.835759665981487
cov_1-1-2,-0.3559528000954564
cov_1-1-3,-4.049119742949888
cov_1-1-4,-2.732226817884341
cov_1-1-5,0.7040727510335668
cov_1-1-6,-1.2498991476608659
cov_1-1-7,-0.4619907864567496
cov_1-1-8,-0.6330832922046767
cov_1-1-9,-3.2384614980827564
cov_1-1-10,1.253182292390498
cov_1-1-11,2.536209111236029
cov_1-1-12,1.949379895278306
cov_1-1-13,-3.159477276072392
cov_1-2-1,-0.3559528000954564
cov_1-2-2,9.372931712779517
cov_1-2-3,2.943993589501062
cov_1-2-4,3.6577222842301342
cov_1-2-5,0.04429605294652053
cov_1-2-6,-3.589438630695353
cov_1-2-7,2.21792879078215
cov_1-2-8,3.806588651400829
cov_1-2-9,-0.15582831435212974
cov_1-2-10,-0.4625062678476624
cov_1-2-11,2.7724657911395942
cov_1-2-12,-3.070394795185386
cov_1-2-13,-0.2500704909403727
cov_1-3-1,-4.049119742949888
cov_1-3-2,2.943993589501062
cov_1-3-3,5.8854943592374
cov_1-3-4,2.704182826566716
cov_1-3-5,-1.730565487557454
cov_1-3-6,-0.10821283082239777
cov_1-3-7,3.2828975712247717
cov_1-3-8,0.6630167629623348
cov_1-3-9,1.3261417908949276
