param,value
z_001,0.0
z_002,0.0
z_003,0.0
z_004,0.0
z_005,0.0
z_006,0.0
z_007,0.0
z_008,0.0
z_009,0.0
z_010,0.0
z_011,0.0
z_012,0.0
z_013,0.0
z_014,0.0
z_015,0.0
z_016,0.0
z_017,0.0
z_018,0.0
z_019,0.0
z_020,0.0
z_021,0.0
z_022,0.0
z_023,0.0
z_024,0.0
z_025,0.0
z_026,0.0
z_027,0.0
z_028,0.0
z_029,0.0
z_030,0.0
z_031,0.0
z_032,0.0
z_033,0.0
z_034,0.0
z_035,0.0
z_036,0.0
z_037,0.0
z_038,0.0
z_039,0.0
z_040,0.0
z_041,0.0
z_042,0.0
z_043,0.0
z_044,0.0
z_045,0.0
z_046,0.0
z_047,0.0
z_048,0.0
z_049,0.0
z_050,0.0
z_051,1.0
z_052,1.0
z_053,1.0
z_054,1.0
z_055,1.0
z_056,1.0
z_057,1.0
z_058,1.0
z_059,1.0
z_060,1.0
z_061,1.0
z_062,1.0
z_063,1.0
z_064,1.0
z_065,1.0
z_066,1.0
z_067,1.0
z_068,1.0
z_069,1.0
z_070,1.0
z_071,1.0
z_072,1.0
z_073,1.0
z_074,1.0
z_075,1.0
z_076,1.0
z_077,1.0
z_078,1.0
z_079,1.0
z_080,1.0
z_081,1.0
z_082,1.0
z_083,1.0
z_084,1.0
z_085,1.0
z_086,1.0
z_087,1.0
z_088,1.0
z_089,1.0
z_090,1.0
z_091,1.0
z_092,1.0
z_093,1.0
z_094,1.0
z_095,1.0
z_096,1.0
z_097,1.0
z_098,1.0
z_099,1.0
z_100,1.0
z_101,2.0
z_102,1.0
z_103,2.0
z_104,2.0
z_105,2.0
z_106,2.0
z_107,1.0
z_108,2.0
z_109,2.0
z_110,2.0
z_111,2.0
z_112,2.0
z_113,2.0
z_114,1.0
z_115,2.0
z_116,2.0
z_117,2.0
z_118,2.0
z_119,2.0
z_120,1.0
z_121,2.0
z_122,1.0
z_123,2.0
z_124,1.0
z_125,2.0
z_126,2.0
z_127,1.0
z_128,1.0
z_129,2.0
z_130,2.0
z_131,2.0
z_132,2.0
z_133,2.0
z_134,1.0
z_135,2.0
z_136,2.0
z_137,2.0
z_138,2.0
z_139,1.0
z_140,2.0
z_141,2.0
z_142,2.0
z_143,1.0
z_144,2.0
z_145,2.0
z_146,2.0
z_147,1.0
z_148,2.0
z_149,2.0
z_150,1.0
m_1,-2.6408407583131277
m_2,0.690496757861753
m_3,2.405940106454041
cov_1,0.0003206072284418378
cov_2,0.002550655387553061
cov_3,0.0020715896303567195
p_1,0.3333333333333333
p_2,0.4218616830408172
p_3,0.2448049836258495
