param,value
z_001,2.0
z_002,2.0
z_003,2.0
z_004,2.0
z_005,2.0
z_006,2.0
z_007,2.0
z_008,2.0
z_009,2.0
z_010,2.0
z_011,2.0
z_012,2.0
z_013,3.0
z_014,3.0
z_015,3.0
z_016,3.0
z_017,3.0
z_018,3.0
z_019,3.0
z_020,3.0
z_021,3.0
z_022,3.0
z_023,3.0
z_024,3.0
z_025,3.0
z_026,3.0
z_027,3.0
z_028,2.0
z_029,3.0
z_030,3.0
z_031,3.0
z_032,3.0
z_033,3.0
z_034,3.0
z_035,3.0
z_036,3.0
z_037,3.0
z_038,3.0
z_039,3.0
z_040,3.0
z_041,3.0
z_042,3.0
z_043,3.0
z_044,3.0
z_045,3.0
z_046,3.0
z_047,3.0
z_048,3.0
z_049,3.0
z_050,3.0
z_051,3.0
z_052,3.0
z_053,3.0
z_054,3.0
z_055,3.0
z_056,3.0
z_057,3.0
z_058,3.0
z_059,3.0
z_060,3.0
z_061,3.0
z_062,3.0
z_063,3.0
z_064,3.0
z_065,3.0
z_066,3.0
z_067,3.0
z_068,3.0
z_069,3.0
z_070,1.0
z_071,1.0
z_072,1.0
z_073,4.0
z_074,1.0
z_075,1.0
z_076,1.0
z_077,1.0
z_078,1.0
z_079,0.0
z_080,0.0
z_081,0.0
z_082,1.0
z_083,0.0
z_084,1.0
z_085,4.0
z_086,0.0
z_087,1.0
z_088,0.0
z_089,1.0
z_090,1.0
z_091,4.0
z_092,0.0
z_093,0.0
z_094,1.0
z_095,1.0
z_096,1.0
z_097,1.0
z_098,1.0
z_099,1.0
z_100,0.0
z_101,1.0
z_102,1.0
z_103,1.0
z_104,1.0
z_105,4.0
z_106,4.0
z_107,4.0
z_108,4.0
z_109,4.0
z_110,4.0
z_111,0.0
z_112,0.0
z_113,4.0
z_114,4.0
z_115,0.0
z_116,4.0
z_117,0.0
z_118,0.0
z_119,0.0
z_120,0.0
z_121,0.0
z_122,0.0
z_123,0.0
z_124,0.0
z_125,0.0
z_126,0.0
z_127,0.0
z_128,4.0
z_129,4.0
z_130,4.0
z_131,4.0
z_132,0.0
z_133,4.0
z_134,0.0
z_135,4.0
z_136,4.0
z_137,4.0
z_138,4.0
z_139,4.0
z_140,2.0
z_141,4.0
z_142,2.0
z_143,0.0
z_144,4.0
z_145,2.0
z_146,4.0
z_147,4.0
z_148,3.0
z_149,1.0
z_150,2.0
z_151,4.0
z_152,4.0
z_153,4.0
z_154,2.0
z_155,4.0
z_156,4.0
z_157,4.0
z_158,0.0
z_159,4.0
z_160,3.0
z_161,4.0
z_162,1.0
z_163,0.0
z_164,4.0
z_165,2.0
z_166,4.0
z_167,4.0
z_168,0.0
z_169,3.0
z_170,4.0
z_171,2.0
z_172,2.0
z_173,4.0
z_174,4.0
z_175,4.0
z_176,3.0
z_177,0.0
z_178,4.0
z_179,0.0
z_180,4.0
z_181,4.0
z_182,2.0
z_183,4.0
z_184,4.0
z_185,4.0
z_186,2.0
z_187,4.0
z_188,4.0
z_189,4.0
z_190,2.0
z_191,3.0
z_192,4.0
z_193,3.0
z_194,4.0
z_195,4.0
z_196,0.0
z_197,0.0
z_198,0.0
z_199,4.0
z_200,4.0
z_201,0.0
z_202,4.0
z_203,4.0
z_204,4.0
z_205,2.0
z_206,0.0
z_207,0.0
z_208,4.0
z_209,0.0
z_210,0.0
z_211,2.0
z_212,4.0
z_213,4.0
z_214,4.0
z_215,0.0
z_216,0.0
z_217,4.0
z_218,0.0
z_219,0.0
z_220,0.0
z_221,0.0
z_222,2.0
z_223,0.0
z_224,0.0
z_225,0.0
z_226,0.0
z_227,4.0
z_228,0.0
z_229,4.0
z_230,4.0
z_231,4.0
z_232,2.0
m_1-1,0.1177108365405656
m_1-2,-0.30170899582652927
m_1-3,0.8329078375333777
m_1-4,-0.3720811970601316
m_2-1,1.6052802479144632
m_2-2,1.5633685598865603
m_2-3,0.34739871684401413
m_2-4,0.19430560802494334
m_3-1,-1.2166943467130955
m_3-2,0.5861591752978755
m_3-3,0.4729233578389875
m_3-4,1.321819583456278
m_4-1,0.17003150191479324
m_4-2,-0.4710239620958012
m_4-3,-1.2161414254932301
m_4-4,0.6510892557213946
m_5-1,-0.3612029120556216
m_5-2,-0.16358014968853368
m_5-3,0.12453719600639405
m_5-4,-0.9711137496030193
cov_1-1-1,0.5507764720185574
cov_1-1-2,0.17919184501429233
cov_1-1-3,-0.06864247791877551
cov_1-1-4,0.011423091371032205
cov_1-2-1,0.17919184501429233
cov_1-2-2,0.4519256246735829
cov_1-2-3,-0.3368460715685623
cov_1-2-4,-0.15587239675287914
cov_1-3-1,-0.06864247791877552
cov_1-3-2,-0.3368460715685623
cov_1-3-3,0.47866276925943596
cov_1-3-4,0.29333928809282755
cov_1-4-1,0.011423091371032205
cov_1-4-2,-0.1558723967528792
cov_1-4-3,0.29333928809282755
cov_1-4-4,0.4374877611721021
cov_2-1-1,0.5663658242675171
cov_2-1-2,-0.0970116316871313
cov_2-1-3,0.30500519570895807
cov_2-1-4,0.10351726750887529
cov_2-2-1,-0.0970116316871313
cov_2-2-2,0.6262463015115242
cov_2-2-3,0.0918157544808087
cov_2-2-4,0.01335998486911047
