param,value
z_001,0.0
z_002,0.0
z_003,0.0
z_004,0.0
z_005,0.0
z_006,0.0
z_007,0.0
z_008,0.0
z_009,0.0
z_010,0.0
z_011,0.0
z_012,0.0
z_013,0.0
z_014,0.0
z_015,0.0
z_016,0.0
z_017,0.0
z_018,0.0
z_019,0.0
z_020,1.0
z_021,0.0
z_022,1.0
z_023,0.0
z_024,0.0
z_025,0.0
z_026,0.0
z_027,0.0
z_028,0.0
z_029,0.0
z_030,0.0
z_031,0.0
z_032,0.0
z_033,0.0
z_034,0.0
z_035,0.0
z_036,0.0
z_037,0.0
z_038,0.0
z_039,0.0
z_040,1.0
z_041,0.0
z_042,0.0
z_043,0.0
z_044,0.0
z_045,0.0
z_046,0.0
z_047,0.0
z_048,0.0
z_049,0.0
z_050,0.0
z_051,0.0
z_052,0.0
z_053,0.0
z_054,0.0
z_055,0.0
z_056,0.0
z_057,0.0
z_058,0.0
z_059,0.0
z_060,2.0
z_061,1.0
z_062,2.0
z_063,2.0
z_064,2.0
z_065,2.0
z_066,0.0
z_067,2.0
z_068,2.0
z_069,1.0
z_070,1.0
z_071,1.0
z_072,2.0
z_073,2.0
z_074,0.0
z_075,1.0
z_076,2.0
z_077,2.0
z_078,2.0
z_079,1.0
z_080,2.0
z_081,2.0
z_082,0.0
z_083,2.0
z_084,2.0
z_085,1.0
z_086,0.0
z_087,2.0
z_088,2.0
z_089,2.0
z_090,2.0
z_091,2.0
z_092,2.0
z_093,2.0
z_094,2.0
z_095,2.0
z_096,1.0
z_097,1.0
z_098,2.0
z_099,2.0
z_100,2.0
z_101,2.0
z_102,2.0
z_103,0.0
z_104,2.0
z_105,2.0
z_106,2.0
z_107,2.0
z_108,2.0
z_109,2.0
z_110,1.0
z_111,2.0
z_112,2.0
z_113,2.0
z_114,2.0
z_115,2.0
z_116,2.0
z_117,2.0
z_118,0.0
z_119,2.0
z_120,2.0
z_121,2.0
z_122,2.0
z_123,2.0
z_124,2.0
z_125,2.0
z_126,2.0
z_127,2.0
z_128,2.0
z_129,2.0
z_130,2.0
z_131,1.0
z_132,2.0
z_133,2.0
z_134,2.0
z_135,1.0
z_136,1.0
z_137,1.0
z_138,1.0
z_139,1.0
z_140,1.0
z_141,1.0
z_142,1.0
z_143,1.0
z_144,1.0
z_145,1.0
z_146,1.0
z_147,1.0
z_148,1.0
z_149,1.0
z_150,2.0
z_151,2.0
z_152,2.0
z_153,2.0
z_154,1.0
z_155,1.0
z_156,1.0
z_157,1.0
z_158,1.0
z_159,1.0
z_160,1.0
z_161,1.0
z_162,1.0
z_163,1.0
z_164,1.0
z_165,1.0
z_166,1.0
z_167,1.0
z_168,1.0
z_169,1.0
z_170,1.0
z_171,1.0
z_172,1.0
z_173,1.0
z_174,1.0
z_175,1.0
z_176,1.0
z_177,1.0
z_178,1.0
m_1-1,13.64391651225644
m_1-2,1.894460187805291
m_1-3,2.442170271296514
m_1-4,17.51478936066882
m_1-5,105.76410144516431
m_1-6,2.8098180873786847
m_1-7,2.93347646713554
m_1-8,0.29513631399143725
m_1-9,1.8813595179304003
m_1-10,5.3445236486073835
m_1-11,1.0736309808752789
m_1-12,3.133899086364233
m_1-13,1083.8915296524983
m_2-1,13.0279554712166
m_2-2,3.023960445600292
m_2-3,2.4147525256960645
m_2-4,20.392432468902996
m_2-5,102.36830192686747
m_2-6,1.8505173506432415
m_2-7,0.9996725958486442
m_2-8,0.43529669503019647
m_2-9,1.3389620975502587
m_2-10,6.434146531145325
m_2-11,0.7702781508840176
m_2-12,1.9795271583476157
m_2-13,673.7141362478335
m_3-1,12.338656015397854
m_3-2,2.179597586213792
m_3-3,2.2496981740789592
m_3-4,20.68283160046045
m_3-5,91.49213244020915
m_3-6,2.169253343594366
m_3-7,2.023320894301125
m_3-8,0.3644801576321229
m_3-9,1.52077499144074
m_3-10,3.5827536162523472
m_3-11,1.0041883469865254
m_3-12,2.640733438583013
m_3-13,475.8589912939634
cov_1-1-1,0.3054297786635656
cov_1-1-2,0.028766912541583273
cov_1-1-3,-0.0042431159702281795
cov_1-1-4,-0.6749833414101389
cov_1-1-5,0.8375885491787782
cov_1-1-6,0.09992906260405328
cov_1-1-7,0.1276639755765286
cov_1-1-8,-0.001503385283371163
cov_1-1-9,0.0743919441942802
cov_1-1-10,0.43823469122644915
cov_1-1-11,0.0006847703804712363
cov_1-1-12,0.02586898791772616
cov_1-1-13,87.46191437725757
cov_1-2-1,0.028766912541583277
cov_1-2-2,0.33182246366986945
cov_1-2-3,-0.0030020324474353387
cov_1-2-4,0.14616958763449595
cov_1-2-5,-0.21294754357486115
cov_1-2-6,0.006765433976613995
cov_1-2-7,-0.017621620034495616
cov_1-2-8,0.0019718291417035404
cov_1-2-9,-0.02451569112088264
cov_1-2-10,-0.09542457728833359
cov_1-2-11,-0.02953868795097731
cov_1-2-12,0.023195873830012648
cov_1-2-13,-11.863356510323142
cov_1-3-1,-0.004243115970228178
cov_1-3-2,-0.0030020324474353387
cov_1-3-3,0.05093472678795721
cov_1-3-4,0.3044681028568436
cov_1-3-5,0.9937163834191541
cov_1-3-6,0.010198425781392432
cov_1-3-7,0.003515276769046542
cov_1-3-8,0.007260083689669436
cov_1-3-9,-0.009316554942546578
cov_1-3-10,-0.006246329001349648
cov_1-3-11,0.006350606337039973
cov_1-3-12,-0.008030879797046182
cov_1-3-13,6.1600970581136965
cov_1-4-1,-0.6749833414101389
cov_1-4-2,0.146169587634496
cov_1-4-3,0.3044681028568435
cov_1-4-4,9.017831517764787
cov_1-4-5,13.688183336152624
cov_1-4-6,-0.1767030556773418
cov_1-4-7,-0.4084819243435088
cov_1-4-8,0.03096870815216206
cov_1-4-9,-0.21148983218109652
cov_1-4-10,-1.562529946564787
cov_1-4-11,0.052816817124040384
cov_1-4-12,-0.018214264400845424
cov_1-4-13,-230.8592342349439
cov_1-5-1,0.8375885491787785
cov_1-5-2,-0.21294754357486115
cov_1-5-3,0.9937163834191541
cov_1-5-4,13.688183336152626
cov_1-5-5,120.78144653447205
cov_1-5-6,1.5411861620418095
cov_1-5-7,0.7320003839279455
cov_1-5-8,0.16521120173479648
cov_1-5-9,-0.10994887294449116
cov_1-5-10,2.366896976894348
cov_1-5-11,0.04495941925494445
cov_1-5-12,0.5478834621171593
cov_1-5-13,58.12686662503407
cov_1-6-1,0.09992906260405329
cov_1-6-2,0.00676543397661399
cov_1-6-3,0.010198425781392432
cov_1-6-4,-0.1767030556773418
cov_1-6-5,1.5411861620418095
cov_1-6-6,0.13501122154151554
cov_1-6-7,0.1282543422025793
cov_1-6-8,-0.0023217891454757876
cov_1-6-9,0.05909004445561577
cov_1-6-10,0.3366166931226759
cov_1-6-11,-0.008624954178589432
cov_1-6-12,0.017741864480682903
cov_1-6-13,43.4447608282963
cov_1-7-1,0.1276639755765286
cov_1-7-2,-0.01762162003449562
cov_1-7-3,0.0035152767690465403
cov_1-7-4,-0.4084819243435087
cov_1-7-5,0.7320003839279455
cov_1-7-6,0.1282543422025793
cov_1-7-7,0.18581176056450632
cov_1-7-8,-0.003830080534543017
cov_1-7-9,0.102312253352479
cov_1-7-10,0.47390494842999553
cov_1-7-11,-0.0004960159233024047
cov_1-7-12,-0.005610427859571491
