param,value
z_001,2.0
z_002,2.0
z_003,2.0
z_004,2.0
z_005,2.0
z_006,2.0
z_007,2.0
z_008,2.0
z_009,2.0
z_010,2.0
z_011,2.0
z_012,2.0
z_013,2.0
z_014,2.0
z_015,2.0
z_016,2.0
z_017,2.0
z_018,2.0
z_019,2.0
z_020,2.0
z_021,2.0
z_022,2.0
z_023,2.0
z_024,2.0
z_025,2.0
z_026,2.0
z_027,2.0
z_028,2.0
z_029,2.0
z_030,2.0
z_031,2.0
z_032,2.0
z_033,2.0
z_034,2.0
z_035,2.0
z_036,2.0
z_037,2.0
z_038,2.0
z_039,2.0
z_040,2.0
z_041,2.0
z_042,2.0
z_043,2.0
z_044,2.0
z_045,2.0
z_046,2.0
z_047,2.0
z_048,2.0
z_049,2.0
z_050,2.0
z_051,0.0
z_052,0.0
z_053,1.0
z_054,0.0
z_055,0.0
z_056,0.0
z_057,0.0
z_058,0.0
z_059,0.0
z_060,0.0
z_061,0.0
z_062,0.0
z_063,0.0
z_064,0.0
z_065,0.0
z_066,0.0
z_067,0.0
z_068,0.0
z_069,0.0
z_070,0.0
z_071,0.0
z_072,0.0
z_073,0.0
z_074,0.0
z_075,0.0
z_076,0.0
z_077,0.0
z_078,1.0
z_079,0.0
z_080,0.0
z_081,0.0
z_082,0.0
z_083,0.0
z_084,0.0
z_085,0.0
z_086,0.0
z_087,0.0
z_088,0.0
z_089,0.0
z_090,0.0
z_091,0.0
z_092,0.0
z_093,0.0
z_094,0.0
z_095,0.0
z_096,0.0
z_097,0.0
z_098,0.0
z_099,0.0
z_100,0.0
z_101,1.0
z_102,0.0
z_103,1.0
z_104,1.0
z_105,1.0
z_106,1.0
z_107,0.0
z_108,1.0
z_109,1.0
z_110,1.0
z_111,1.0
z_112,1.0
z_113,1.0
z_114,0.0
z_115,0.0
z_116,1.0
z_117,1.0
z_118,1.0
z_119,1.0
z_120,0.0
z_121,1.0
z_122,0.0
z_123,1.0
z_124,0.0
z_125,1.0
z_126,1.0
z_127,0.0
z_128,0.0
z_129,1.0
z_130,1.0
z_131,1.0
z_132,1.0
z_133,1.0
z_134,0.0
z_135,1.0
z_136,1.0
z_137,1.0
z_138,1.0
z_139,0.0
z_140,1.0
z_141,1.0
z_142,1.0
z_143,0.0
z_144,1.0
z_145,1.0
z_146,1.0
z_147,0.0
z_148,1.0
z_149,1.0
z_150,0.0
m_1-1,5.901612903225806
m_1-2,2.7483870967741932
m_1-3,4.393548387096774
m_1-4,1.4338709677419355
m_2-1,6.85
m_2-2,3.0736842105263156
m_2-3,5.742105263157895
m_2-4,2.0710526315789473
m_3-1,5.006
m_3-2,3.418
m_3-3,1.4639999999999995
m_3-4,0.24400000000000022
cov_1-1-1,0.21753833950290835
cov_1-1-2,0.06369116869381276
cov_1-1-3,0.1342728714965627
cov_1-1-4,0.03453463775780011
cov_1-2-1,0.06369116869381276
cov_1-2-2,0.08778424114225275
cov_1-2-3,0.054907456372289803
cov_1-2-4,0.02898995240613431
cov_1-3-1,0.1342728714965627
cov_1-3-2,0.054907456372289803
cov_1-3-3,0.2589740877842411
cov_1-3-4,0.12136964569011106
cov_1-4-1,0.03453463775780011
cov_1-4-2,0.02898995240613431
cov_1-4-3,0.12136964569011106
cov_1-4-4,0.08850608143839238
cov_2-1-1,0.2441891891891893
cov_2-1-2,0.0254054054054054
cov_2-1-3,0.1772972972972973
cov_2-1-4,0.005540540540540546
cov_2-2-1,0.0254054054054054
cov_2-2-2,0.08415362731152204
cov_2-2-3,0.012219061166429587
cov_2-2-4,0.03435277382645803
cov_2-3-1,0.1772972972972973
cov_2-3-2,0.012219061166429587
cov_2-3-3,0.238719772403983
cov_2-3-4,0.025305832147937413
cov_2-4-1,0.005540540540540546
cov_2-4-2,0.03435277382645803
cov_2-4-3,0.025305832147937413
cov_2-4-4,0.07832859174964436
cov_3-1-1,0.12424897959183664
cov_3-1-2,0.10029795918367343
cov_3-1-3,0.01613877551020407
cov_3-1-4,0.010546938775510196
cov_3-2-1,0.10029795918367343
cov_3-2-2,0.14517959183673468
cov_3-2-3,0.011681632653061215
cov_3-2-4,0.011436734693877543
cov_3-3-1,0.01613877551020407
cov_3-3-2,0.011681632653061215
cov_3-3-3,0.0301061224489796
cov_3-3-4,0.005697959183673469
cov_3-4-1,0.010546938775510196
cov_3-4-2,0.011436734693877543
cov_3-4-3,0.005697959183673469
cov_3-4-4,0.011493877551020404
p_1,0.41333333333333333
p_2,0.25333333333333335
p_3,0.3333333333333333
