param,value
z_001,2.0
z_002,2.0
z_003,2.0
z_004,2.0
z_005,2.0
z_006,2.0
z_007,2.0
z_008,2.0
z_009,2.0
z_010,2.0
z_011,2.0
z_012,2.0
z_013,3.0
z_014,4.0
z_015,3.0
z_016,4.0
z_017,4.0
z_018,3.0
z_019,3.0
z_020,3.0
z_021,3.0
z_022,3.0
z_023,3.0
z_024,3.0
z_025,3.0
z_026,2.0
z_027,3.0
z_028,1.0
z_029,3.0
z_030,3.0
z_031,3.0
z_032,3.0
z_033,3.0
z_034,3.0
z_035,3.0
z_036,3.0
z_037,3.0
z_038,3.0
z_039,3.0
z_040,3.0
z_041,3.0
z_042,3.0
z_043,3.0
z_044,3.0
z_045,3.0
z_046,3.0
z_047,3.0
z_048,3.0
z_049,3.0
z_050,3.0
z_051,3.0
z_052,3.0
z_053,3.0
z_054,3.0
z_055,3.0
z_056,3.0
z_057,3.0
z_058,3.0
z_059,3.0
z_060,3.0
z_061,3.0
z_062,3.0
z_063,3.0
z_064,3.0
z_065,3.0
z_066,3.0
z_067,3.0
z_068,3.0
z_069,3.0
z_070,1.0
z_071,1.0
z_072,4.0
z_073,4.0
z_074,1.0
z_075,1.0
z_076,1.0
z_077,3.0
z_078,1.0
z_079,0.0
z_080,4.0
z_081,1.0
z_082,1.0
z_083,4.0
z_084,1.0
z_085,4.0
z_086,4.0
z_087,1.0
z_088,4.0
z_089,1.0
z_090,1.0
z_091,4.0
z_092,0.0
z_093,4.0
z_094,1.0
z_095,1.0
z_096,1.0
z_097,1.0
z_098,1.0
z_099,1.0
z_100,1.0
z_101,1.0
z_102,1.0
z_103,1.0
z_104,1.0
z_105,4.0
z_106,4.0
z_107,4.0
z_108,4.0
z_109,4.0
z_110,4.0
z_111,0.0
z_112,0.0
z_113,4.0
z_114,0.0
z_115,0.0
z_116,0.0
z_117,0.0
z_118,0.0
z_119,0.0
z_120,0.0
z_121,0.0
z_122,0.0
z_123,0.0
z_124,0.0
z_125,0.0
z_126,0.0
z_127,0.0
z_128,4.0
z_129,4.0
z_130,4.0
z_131,4.0
z_132,1.0
z_133,4.0
z_134,4.0
z_135,4.0
z_136,0.0
z_137,0.0
z_138,0.0
z_139,4.0
z_140,2.0
z_141,4.0
z_142,2.0
z_143,0.0
z_144,4.0
z_145,2.0
z_146,4.0
z_147,4.0
z_148,2.0
z_149,1.0
z_150,4.0
z_151,4.0
z_152,4.0
z_153,4.0
z_154,2.0
z_155,4.0
z_156,4.0
z_157,4.0
z_158,0.0
z_159,4.0
z_160,4.0
z_161,4.0
z_162,4.0
z_163,4.0
z_164,4.0
z_165,2.0
z_166,4.0
z_167,0.0
z_168,4.0
z_169,4.0
z_170,0.0
z_171,2.0
z_172,2.0
z_173,4.0
z_174,4.0
z_175,4.0
z_176,3.0
z_177,0.0
z_178,0.0
z_179,0.0
z_180,3.0
z_181,4.0
z_182,2.0
z_183,4.0
z_184,4.0
z_185,4.0
z_186,2.0
z_187,0.0
z_188,0.0
z_189,0.0
z_190,2.0
z_191,3.0
z_192,4.0
z_193,4.0
z_194,0.0
z_195,0.0
z_196,0.0
z_197,0.0
z_198,0.0
z_199,4.0
z_200,4.0
z_201,0.0
z_202,4.0
z_203,0.0
z_204,4.0
z_205,2.0
z_206,0.0
z_207,0.0
z_208,0.0
z_209,0.0
z_210,0.0
z_211,0.0
z_212,0.0
z_213,0.0
z_214,0.0
z_215,0.0
z_216,0.0
z_217,0.0
z_218,0.0
z_219,0.0
z_220,0.0
z_221,4.0
z_222,2.0
z_223,0.0
z_224,0.0
z_225,0.0
z_226,1.0
z_227,0.0
z_228,0.0
z_229,0.0
z_230,0.0
z_231,4.0
z_232,2.0
m_1-1,-0.0617644848348513
m_1-2,-0.6929198359933683
m_1-3,0.9965910029565087
m_1-4,-0.3287054962800103
m_2-1,1.6441548459379756
m_2-2,1.4348400029824833
m_2-3,0.5684774207402018
m_2-4,0.24711600091541805
m_3-1,-1.2873031516207376
m_3-2,0.6111174821039757
m_3-3,0.38016716844396836
m_3-4,1.3769265059964442
m_4-1,0.2985922324461302
m_4-2,-0.6298642865219519
m_4-3,-1.1874814001751626
m_4-4,0.6901472388835641
m_5-1,-0.3653272850557685
m_5-2,0.34849577592737113
m_5-3,-0.30499847863796753
m_5-4,-1.0125010207628908
cov_1-1-1,0.4303608066367171
cov_1-1-2,-0.006454874238438359
cov_1-1-3,-0.0491751467568268
cov_1-1-4,0.020251747538335422
cov_1-2-1,-0.006454874238438359
cov_1-2-2,0.26505337858317096
cov_1-2-3,-0.056005342358388485
cov_1-2-4,0.0352761574033017
cov_1-3-1,-0.0491751467568268
cov_1-3-2,-0.056005342358388485
cov_1-3-3,0.3101442631431953
cov_1-3-4,0.14211238795626277
cov_1-4-1,0.020251747538335422
cov_1-4-2,0.0352761574033017
cov_1-4-3,0.14211238795626277
cov_1-4-4,0.3402623874372216
cov_2-1-1,0.450760686575707
cov_2-1-2,-0.015601679041828978
cov_2-1-3,0.09424604259009935
cov_2-1-4,-0.013146259834223429
cov_2-2-1,-0.015601679041828978
cov_2-2-2,0.6896070519430986
cov_2-2-3,-0.07341239742626778
cov_2-2-4,-0.03437276078777582
