param,value
z_001,0.0
z_002,0.0
z_003,0.0
z_004,0.0
z_005,1.0
z_006,0.0
z_007,0.0
z_008,0.0
z_009,0.0
z_010,0.0
z_011,0.0
z_012,0.0
z_013,0.0
z_014,0.0
z_015,0.0
z_016,0.0
z_017,0.0
z_018,0.0
z_019,0.0
z_020,1.0
z_021,1.0
z_022,1.0
z_023,0.0
z_024,0.0
z_025,1.0
z_026,1.0
z_027,0.0
z_028,0.0
z_029,1.0
z_030,0.0
z_031,0.0
z_032,0.0
z_033,0.0
z_034,0.0
z_035,0.0
z_036,1.0
z_037,1.0
z_038,0.0
z_039,0.0
z_040,1.0
z_041,1.0
z_042,0.0
z_043,0.0
z_044,1.0
z_045,1.0
z_046,0.0
z_047,0.0
z_048,0.0
z_049,0.0
z_050,0.0
z_051,0.0
z_052,0.0
z_053,0.0
z_054,0.0
z_055,0.0
z_056,0.0
z_057,0.0
z_058,0.0
z_059,0.0
z_060,2.0
z_061,1.0
z_062,2.0
z_063,1.0
z_064,2.0
z_065,2.0
z_066,1.0
z_067,2.0
z_068,2.0
z_069,1.0
z_070,1.0
z_071,1.0
z_072,2.0
z_073,2.0
z_074,0.0
z_075,1.0
z_076,2.0
z_077,2.0
z_078,2.0
z_079,1.0
z_080,2.0
z_081,2.0
z_082,1.0
z_083,1.0
z_084,2.0
z_085,2.0
z_086,2.0
z_087,2.0
z_088,2.0
z_089,1.0
z_090,1.0
z_091,2.0
z_092,2.0
z_093,2.0
z_094,2.0
z_095,2.0
z_096,1.0
z_097,1.0
z_098,2.0
z_099,1.0
z_100,2.0
z_101,1.0
z_102,2.0
z_103,2.0
z_104,2.0
z_105,1.0
z_106,2.0
z_107,2.0
z_108,2.0
z_109,2.0
z_110,1.0
z_111,2.0
z_112,2.0
z_113,1.0
z_114,2.0
z_115,2.0
z_116,2.0
z_117,2.0
z_118,2.0
z_119,2.0
z_120,2.0
z_121,1.0
z_122,2.0
z_123,2.0
z_124,2.0
z_125,2.0
z_126,2.0
z_127,2.0
z_128,2.0
z_129,2.0
z_130,2.0
z_131,1.0
z_132,2.0
z_133,2.0
z_134,1.0
z_135,1.0
z_136,1.0
z_137,1.0
z_138,2.0
z_139,2.0
z_140,2.0
z_141,1.0
z_142,1.0
z_143,2.0
z_144,2.0
z_145,1.0
z_146,1.0
z_147,2.0
z_148,1.0
z_149,1.0
z_150,2.0
z_151,2.0
z_152,2.0
z_153,2.0
z_154,1.0
z_155,1.0
z_156,1.0
z_157,2.0
z_158,1.0
z_159,1.0
z_160,1.0
z_161,2.0
z_162,1.0
z_163,2.0
z_164,1.0
z_165,1.0
z_166,2.0
z_167,1.0
z_168,1.0
z_169,1.0
z_170,1.0
z_171,2.0
z_172,2.0
z_173,1.0
z_174,1.0
z_175,1.0
z_176,1.0
z_177,1.0
z_178,2.0
m_1-1,13.804468085106382
m_1-2,1.8834042553191488
m_1-3,2.4261702127659577
m_1-4,17.02340425531915
m_1-5,105.51063829787233
m_1-6,2.8672340425531915
m_1-7,3.014255319148936
m_1-8,0.2853191489361702
m_1-9,1.9104255319148935
m_1-10,5.702553191489361
m_1-11,1.0782978723404255
m_1-12,3.1140425531914895
m_1-13,1195.1489361702127
m_2-1,12.92983870967742
m_2-2,2.504032258064516
m_2-3,2.4080645161290324
m_2-4,19.89032258064516
m_2-5,103.59677419354837
m_2-6,2.1111290322580647
m_2-7,1.584032258064516
m_2-8,0.3883870967741936
m_2-9,1.5033870967741936
m_2-10,5.650322580645161
m_2-11,0.8839677419354839
m_2-12,2.365483870967742
m_2-13,728.3387096774194
m_3-1,12.516666666666666
m_3-2,2.4942028985507245
m_3-3,2.2885507246376813
m_3-4,20.8231884057971
m_3-5,92.34782608695652
m_3-6,2.070724637681159
m_3-7,1.7584057971014493
m_3-8,0.39014492753623187
m_3-9,1.4518840579710144
m_3-10,4.086956507246377
m_3-11,0.9411594202898551
m_3-12,2.4907246376811596
m_3-13,458.2318840579709
cov_1-1-1,0.21560351526364477
cov_1-1-2,0.03148445883441264
cov_1-1-3,-0.004095559666975026
cov_1-1-4,-0.4353242368177613
cov_1-1-5,0.4307123034227568
cov_1-1-6,0.05587132284921369
cov_1-1-7,0.06860013876040699
cov_1-1-8,0.006784412580943563
cov_1-1-9,0.06381544865864942
cov_1-1-10,0.22397964847363536
cov_1-1-11,-0.003961794634597613
cov_1-1-12,0.011872849213691061
cov_1-1-13,20.63649398704902
cov_1-2-1,0.03148445883441264
cov_1-2-2,0.30016641998149857
cov_1-2-3,-0.010747548566142472
cov_1-2-4,0.11328815911193331
cov_1-2-5,-0.4435152636447732
cov_1-2-6,-0.0014838575393154403
cov_1-2-7,-0.023940888066604996
cov_1-2-8,0.00040323774283071396
cov_1-2-9,-0.02260365402405181
cov_1-2-10,-0.12091757631822385
cov_1-2-11,-0.02116581868640146
cov_1-2-12,0.028994634597594843
cov_1-2-13,-12.007474560592042
cov_1-3-1,-0.004095559666975026
cov_1-3-2,-0.010747548566142472
cov_1-3-3,0.036245883441258106
cov_1-3-4,0.2584176688251619
cov_1-3-5,0.8950416281221094
cov_1-3-6,0.01271743755781684
cov_1-3-7,0.0069731729879741
cov_1-3-8,0.004596901017576319
cov_1-3-9,-0.00766355226641999
cov_1-3-10,0.019579555966697488
cov_1-3-11,0.004504209065679927
cov_1-3-12,-0.006505920444033311
cov_1-3-13,9.316887141535615
cov_1-4-1,-0.4353242368177613
cov_1-4-2,0.11328815911193331
cov_1-4-3,0.2584176688251619
cov_1-4-4,8.994005550416281
cov_1-4-5,17.407354301572617
cov_1-4-6,-0.02228168362627198
cov_1-4-7,-0.2602104532839964
cov_1-4-8,-0.005409805735430164
cov_1-4-9,-0.18387974098057355
cov_1-4-10,-0.8183436632747455
cov_1-4-11,0.06775809435707678
cov_1-4-12,-0.0729662349676226
cov_1-4-13,-43.88399629972246
cov_1-5-1,0.4307123034227568
cov_1-5-2,-0.4435152636447732
cov_1-5-3,0.8950416281221094
cov_1-5-4,17.407354301572617
cov_1-5-5,124.47271045328398
cov_1-5-6,1.504051803885291
cov_1-5-7,0.4723450508788161
cov_1-5-8,0.12918131359851992
cov_1-5-9,-0.5060915818686401
cov_1-5-10,2.1864939870490283
cov_1-5-11,0.1011054579093432
cov_1-5-12,0.5509343200740057
cov_1-5-13,61.96577243293246
cov_1-6-1,0.05587132284921369
cov_1-6-2,-0.0014838575393154403
cov_1-6-3,0.01271743755781684
cov_1-6-4,-0.02228168362627198
cov_1-6-5,1.504051803885291
cov_1-6-6,0.13461174838112852
cov_1-6-7,0.11931419981498607
cov_1-6-8,-0.000782793709528214
cov_1-6-9,0.05614685476410731
cov_1-6-10,0.2730376503237742
cov_1-6-11,-0.008602636447733583
cov_1-6-12,0.013544033302497682
cov_1-6-13,19.02455134135059
cov_1-7-1,0.06860013876040699
cov_1-7-2,-0.023940888066604996
cov_1-7-3,0.0069731729879741
cov_1-7-4,-0.2602104532839964
cov_1-7-5,0.4723450508788161
cov_1-7-6,0.11931419981498607
cov_1-7-7,0.17674236817761332
cov_1-7-8,-0.000901387604070304
cov_1-7-9,0.10231771507863095
cov_1-7-10,0.39078455134135054
cov_1-7-11,-0.0007860777058279381
cov_1-7-12,-0.014506706753006476
