param,value
z_001,0.0
z_002,0.0
z_003,0.0
z_004,0.0
z_005,0.0
z_006,0.0
z_007,0.0
z_008,0.0
z_009,0.0
z_010,0.0
z_011,0.0
z_012,0.0
z_013,1.0
z_014,1.0
z_015,1.0
z_016,1.0
z_017,1.0
z_018,1.0
z_019,1.0
z_020,1.0
z_021,1.0
z_022,1.0
z_023,1.0
z_024,1.0
z_025,1.0
z_026,1.0
z_027,1.0
z_028,1.0
z_029,1.0
z_030,1.0
z_031,1.0
z_032,1.0
z_033,1.0
z_034,1.0
z_035,1.0
z_036,1.0
z_037,1.0
z_038,1.0
z_039,1.0
z_040,1.0
z_041,1.0
z_042,1.0
z_043,1.0
z_044,1.0
z_045,1.0
z_046,1.0
z_047,1.0
z_048,1.0
z_049,1.0
z_050,1.0
z_051,1.0
z_052,1.0
z_053,1.0
z_054,1.0
z_055,1.0
z_056,1.0
z_057,1.0
z_058,1.0
z_059,1.0
z_060,1.0
z_061,1.0
z_062,1.0
z_063,1.0
z_064,1.0
z_065,1.0
z_066,1.0
z_067,1.0
z_068,1.0
z_069,1.0
z_070,2.0
z_071,2.0
z_072,2.0
z_073,2.0
z_074,2.0
z_075,2.0
z_076,2.0
z_077,2.0
z_078,2.0
z_079,2.0
z_080,2.0
z_081,2.0
z_082,2.0
z_083,2.0
z_084,2.0
z_085,2.0
z_086,2.0
z_087,2.0
z_088,2.0
z_089,2.0
z_090,2.0
z_091,2.0
z_092,2.0
z_093,2.0
z_094,2.0
z_095,2.0
z_096,2.0
z_097,2.0
z_098,2.0
z_099,2.0
z_100,2.0
z_101,2.0
z_102,2.0
z_103,2.0
z_104,2.0
z_105,3.0
z_106,3.0
z_107,3.0
z_108,3.0
z_109,3.0
z_110,3.0
z_111,3.0
z_112,3.0
z_113,3.0
z_114,3.0
z_115,3.0
z_116,3.0
z_117,3.0
z_118,3.0
z_119,3.0
z_120,3.0
z_121,3.0
z_122,3.0
z_123,3.0
z_124,3.0
z_125,3.0
z_126,3.0
z_127,3.0
z_128,4.0
z_129,4.0
z_130,4.0
z_131,4.0
z_132,4.0
z_133,4.0
z_134,4.0
z_135,4.0
z_136,4.0
z_137,4.0
z_138,4.0
z_139,4.0
z_140,0.0
z_141,2.0
z_142,3.0
z_143,3.0
z_144,3.0
z_145,1.0
z_146,3.0
z_147,3.0
z_148,1.0
z_149,2.0
z_150,3.0
z_151,3.0
z_152,3.0
z_153,3.0
z_154,0.0
z_155,3.0
z_156,3.0
z_157,3.0
z_158,3.0
z_159,3.0
z_160,1.0
z_161,3.0
z_162,2.0
z_163,3.0
z_164,3.0
z_165,0.0
z_166,3.0
z_167,3.0
z_168,3.0
z_169,1.0
z_170,3.0
z_171,1.0
z_172,3.0
z_173,3.0
z_174,3.0
z_175,4.0
z_176,1.0
z_177,3.0
z_178,3.0
z_179,4.0
z_180,1.0
z_181,2.0
z_182,1.0
z_183,4.0
z_184,3.0
z_185,3.0
z_186,0.0
z_187,3.0
z_188,3.0
z_189,3.0
z_190,0.0
z_191,1.0
z_192,3.0
z_193,1.0
z_194,3.0
z_195,3.0
z_196,3.0
z_197,3.0
z_198,3.0
z_199,3.0
z_200,3.0
z_201,3.0
z_202,3.0
z_203,4.0
z_204,4.0
z_205,0.0
z_206,3.0
z_207,3.0
z_208,3.0
z_209,3.0
z_210,4.0
z_211,3.0
z_212,3.0
z_213,4.0
z_214,3.0
z_215,3.0
z_216,3.0
z_217,4.0
z_218,3.0
z_219,3.0
z_220,3.0
z_221,3.0
z_222,0.0
z_223,3.0
z_224,3.0
z_225,3.0
z_226,2.0
z_227,4.0
z_228,3.0
z_229,3.0
z_230,3.0
z_231,4.0
z_232,0.0
m_1-1,-1.498242997999079
m_1-2,0.462320217369558
m_1-3,0.5181577397645103
m_1-4,1.4667373061489664
m_2-1,0.16051236777480238
m_2-2,-0.39862533613502443
m_2-3,-1.1185062204419036
m_2-4,0.6819571321805555
m_3-1,1.211107338544192
m_3-2,1.1121345521180697
m_3-3,0.2791390390089644
m_3-4,-0.12479805869064269
m_4-1,-0.503955636144912
m_4-2,-0.19026683458431642
m_4-3,0.6472221052359292
m_4-4,-0.5067433078401703
m_5-1,0.5724797989695384
m_5-2,-0.5105337109349566
m_5-3,-0.014010650937422714
m_5-4,-1.2715571400325776
cov_1-1-1,0.3894449437154436
cov_1-1-2,-0.18982206864002546
cov_1-1-3,0.21537507393095628
cov_1-1-4,0.05426021483260186
cov_1-2-1,-0.18982206864002546
cov_1-2-2,0.7164875568302427
cov_1-2-3,-0.26611443454355244
cov_1-2-4,-0.21630769452343146
cov_1-3-1,0.21537507393095628
cov_1-3-2,-0.26611443454355244
cov_1-3-3,0.29134052033709434
cov_1-3-4,0.17544551707435965
cov_1-4-1,0.05426021483260186
cov_1-4-2,-0.21630769452343146
cov_1-4-3,0.17544551707435965
cov_1-4-4,0.22696303506200294
cov_2-1-1,0.3108000000431201
cov_2-1-2,-0.28562385762233233
cov_2-1-3,0.04069361176456069
cov_2-1-4,0.10145224524296338
cov_2-2-1,-0.28562385762233233
cov_2-2-2,0.7488957596713661
cov_2-2-3,0.0049415634445339005
cov_2-2-4,-0.07869393844612349
cov_2-3-1,0.04069361176456069
cov_2-3-2,0.0049415634445339005
cov_2-3-3,0.44066756910650473
cov_2-3-4,0.3659451167291744
cov_2-4-1,0.10145224524296338
cov_2-4-2,-0.07869393844612349
cov_2-4-3,0.3659451167291744
cov_2-4-4,0.6118232785361913
cov_3-1-1,0.7192978671346418
cov_3-1-2,0.26862130875486173
cov_3-1-3,0.3160213685771555
cov_3-1-4,0.33792952984294256
cov_3-2-1,0.26862130875486173
cov_3-2-2,0.7993370812068552
cov_3-2-3,0.09929071004544664
cov_3-2-4,0.24107828219366867
cov_3-3-1,0.3160213685771555
cov_3-3-2,0.09929071004544664
cov_3-3-3,0.4855286564822187
cov_3-3-4,0.2986875020424064
cov_3-4-1,0.33792952984294256
cov_3-4-2,0.24107828219366867
cov_3-4-3,0.2986875020424064
cov_3-4-4,0.4199911931343304
cov_4-1-1,0.4545040819697708
cov_4-1-2,-0.3199248206979301
cov_4-1-3,0.23111911674592084
cov_4-1-4,0.1701289222765652
cov_4-2-1,-0.3199248206979301
cov_4-2-2,0.7225978356598033
cov_4-2-3,-0.42228870859347206
cov_4-2-4,-0.14899560801179842
cov_4-3-1,0.23111911674592084
cov_4-3-2,-0.42228870859347206
cov_4-3-3,0.5234742331528932
cov_4-3-4,0.24851031746104438
cov_4-4-1,0.1701289222765652
cov_4-4-2,-0.14899560801179842
cov_4-4-3,0.24851031746104438
cov_4-4-4,0.4169768689629214
cov_5-1-1,0.2468555039006231
cov_5-1-2,0.04526368926117419
cov_5-1-3,0.15365610210175346
cov_5-1-4,0.12496200167190515
cov_5-2-1,0.04526368926117419
cov_5-2-2,0.257074676339073
cov_5-2-3,-0.0729820010448436
cov_5-2-4,0.001816718154237835
cov_5-3-1,0.15365610210175346
cov_5-3-2,-0.0729820010448436
cov_5-3-3,0.40190407481107876
cov_5-3-4,0.21984527365918252
cov_5-4-1,0.12496200167190515
cov_5-4-2,0.001816718154237835
cov_5-4-3,0.21984527365918252
cov_5-4-4,0.2401205642769839
p_1,0.08620689655172414
