param,value
z_001,0.0
z_002,0.0
z_003,0.0
z_004,0.0
z_005,0.0
z_006,0.0
z_007,0.0
z_008,0.0
z_009,0.0
z_010,0.0
z_011,0.0
z_012,0.0
z_013,0.0
z_014,0.0
z_015,0.0
z_016,0.0
z_017,0.0
z_018,0.0
z_019,0.0
z_020,0.0
z_021,0.0
z_022,0.0
z_023,0.0
z_024,0.0
z_025,0.0
z_026,0.0
z_027,0.0
z_028,0.0
z_029,0.0
z_030,0.0
z_031,0.0
z_032,0.0
z_033,0.0
z_034,0.0
z_035,0.0
z_036,0.0
z_037,0.0
z_038,0.0
z_039,0.0
z_040,1.0
z_041,0.0
z_042,0.0
z_043,0.0
z_044,0.0
z_045,0.0
z_046,0.0
z_047,0.0
z_048,0.0
z_049,0.0
z_050,0.0
z_051,0.0
z_052,0.0
z_053,0.0
z_054,0.0
z_055,0.0
z_056,0.0
z_057,0.0
z_058,0.0
z_059,0.0
z_060,2.0
z_061,1.0
z_062,2.0
z_063,2.0
z_064,2.0
z_065,2.0
z_066,0.0
z_067,0.0
z_068,2.0
z_069,1.0
z_070,1.0
z_071,1.0
z_072,2.0
z_073,2.0
z_074,0.0
z_075,1.0
z_076,2.0
z_077,2.0
z_078,2.0
z_079,1.0
z_080,2.0
z_081,2.0
z_082,0.0
z_083,2.0
z_084,2.0
z_085,0.0
z_086,0.0
z_087,0.0
z_088,2.0
z_089,2.0
z_090,2.0
z_091,2.0
z_092,2.0
z_093,2.0
z_094,0.0
z_095,2.0
z_096,1.0
z_097,1.0
z_098,2.0
z_099,0.0
z_100,2.0
z_101,0.0
z_102,0.0
z_103,0.0
z_104,2.0
z_105,0.0
z_106,2.0
z_107,2.0
z_108,2.0
z_109,2.0
z_110,0.0
z_111,2.0
z_112,0.0
z_113,2.0
z_114,2.0
z_115,2.0
z_116,2.0
z_117,2.0
z_118,0.0
z_119,2.0
z_120,2.0
z_121,0.0
z_122,2.0
z_123,2.0
z_124,2.0
z_125,2.0
z_126,2.0
z_127,2.0
z_128,2.0
z_129,2.0
z_130,2.0
z_131,1.0
z_132,2.0
z_133,2.0
z_134,2.0
z_135,1.0
z_136,1.0
z_137,1.0
z_138,1.0
z_139,1.0
z_140,1.0
z_141,1.0
z_142,1.0
z_143,1.0
z_144,1.0
z_145,1.0
z_146,1.0
z_147,1.0
z_148,1.0
z_149,1.0
z_150,2.0
z_151,2.0
z_152,2.0
z_153,2.0
z_154,1.0
z_155,1.0
z_156,1.0
z_157,1.0
z_158,1.0
z_159,1.0
z_160,1.0
z_161,1.0
z_162,1.0
z_163,1.0
z_164,1.0
z_165,1.0
z_166,1.0
z_167,1.0
z_168,1.0
z_169,1.0
z_170,1.0
z_171,1.0
z_172,1.0
z_173,1.0
z_174,1.0
z_175,1.0
z_176,1.0
z_177,1.0
z_178,1.0
m_1-1,13.4236
m_1-2,1.908133333333334
m_1-3,2.405333333333333
m_1-4,17.735999999999997
m_1-5,103.46666666666667
m_1-6,2.749999999999999
m_1-7,2.8485333333333327
m_1-8,0.2916000000000001
m_1-9,1.8676000000000004
m_1-10,4.992533333333334
m_1-11,1.0661333333333336
m_1-12,3.1272
m_1-13,996.24
m_2-1,13.0694
m_2-2,3.0826
m_2-3,2.3981999999999997
m_2-4,20.584
m_2-5,102.42
m_2-6,1.7970000000000004
m_2-7,0.8676
m_2-8,0.4513999999999999
m_2-9,1.2755999999999998
m_2-10,6.643399979999999
m_2-11,0.75692
m_2-12,1.8731999999999993
m_2-13,671.32
m_3-1,12.337169811320754
m_3-2,2.238301886792453
m_3-3,2.281698113207548
m_3-4,20.956603773584906
m_3-5,91.94339622641509
m_3-6,2.1213207547169817
m_3-7,1.9658490566037738
m_3-8,0.3767924528301886
m_3-9,1.4967924528301886
m_3-10,3.655283018867925
m_3-11,0.9928301886792452
m_3-12,2.5788679245283026
m_3-13,465.33962264150944
cov_1-1-1,0.5445476756756762
cov_1-1-2,0.03966221621621626
cov_1-1-3,0.028937297297297302
cov_1-1-4,-0.9154827027027028
cov_1-1-5,3.3123513513513534
cov_1-1-6,0.14768513513513518
cov_1-1-7,0.20351210810810813
cov_1-1-8,-0.00023151351351352
cov_1-1-9,0.06774524324324326
cov_1-1-10,0.7998691351351354
cov_1-1-11,0.01135059459459459
cov_1-1-12,0.033785891891891934
cov_1-1-13,168.25223243243246
cov_1-2-1,0.03966221621621626
cov_1-2-2,0.40913430630630643
cov_1-2-3,0.013079009009008987
cov_1-2-4,0.12179783783783787
cov_1-2-5,0.489126126126126
cov_1-2-6,0.0016472972972972942
cov_1-2-7,-0.02542845045045047
cov_1-2-8,-0.0005875135135135136
cov_1-2-9,-0.03695859459459461
cov_1-2-10,-0.08652493693693694
cov_1-2-11,-0.02581812612612613
cov_1-2-12,0.04254064864864866
cov_1-2-13,-11.119410810810823
cov_1-3-1,0.028937297297297302
cov_1-3-2,0.013079009009008987
cov_1-3-3,0.06827927927927929
cov_1-3-4,0.2420891891891893
cov_1-3-5,1.5424774774774777
cov_1-3-6,0.02205810810810811
cov_1-3-7,0.023063333333333335
cov_1-3-8,0.00630891891891892
cov_1-3-9,0.004210270270270275
cov_1-3-10,0.054075495495495486
cov_1-3-11,0.0019722522522522532
cov_1-3-12,1.6216216216117505e-06
cov_1-3-13,22.496405405405405
cov_1-4-1,-0.9154827027027028
cov_1-4-2,0.12179783783783787
cov_1-4-3,0.2420891891891893
cov_1-4-4,8.54611891891892
cov_1-4-5,8.285675675675677
cov_1-4-6,-0.26958108108108114
cov_1-4-7,-0.5335681081081082
cov_1-4-8,0.03949567567567568
cov_1-4-9,-0.23742594594594596
cov_1-4-10,-1.9591600000000002
cov_1-4-11,0.03842486486486484
cov_1-4-12,-0.07219513513513523
cov_1-4-13,-301.1884864864865
cov_1-5-1,3.3123513513513534
cov_1-5-2,0.489126126126126
cov_1-5-3,1.5424774774774777
cov_1-5-4,8.285675675675677
cov_1-5-5,139.8738738738739
cov_1-5-6,1.952027027027027
cov_1-5-7,1.6540720720720727
cov_1-5-8,0.13910810810810822
cov_1-5-9,0.018567567567567708
cov_1-5-10,6.292045045045046
cov_1-5-11,0.06345045045045042
cov_1-5-12,0.6892972972972975
cov_1-5-13,1156.3594594594597
cov_1-6-1,0.14768513513513518
cov_1-6-2,0.0016472972972972942
cov_1-6-3,0.02205810810810811
cov_1-6-4,-0.26958108108108114
cov_1-6-5,1.952027027027027
cov_1-6-6,0.17568648648648644
cov_1-6-7,0.18577837837837835
cov_1-6-8,-0.0030864864864864876
cov_1-6-9,0.06894324324324323
cov_1-6-10,0.434522972972973
cov_1-6-11,-0.00925810810810811
cov_1-6-12,0.02612567567567568
cov_1-6-13,63.367567567567555
cov_1-7-1,0.20351210810810813
cov_1-7-2,-0.02542845045045047
cov_1-7-3,0.023063333333333335
cov_1-7-4,-0.5335681081081082
cov_1-7-5,1.6540720720720727
cov_1-7-6,0.18577837837837835
cov_1-7-7,0.25926133333333323
cov_1-7-8,-0.004884108108108107
cov_1-7-9,0.11415724324324321
cov_1-7-10,0.6188159279279282
cov_1-7-11,-0.001701693693693692
cov_1-7-12,0.007803945945945952
cov_1-7-13,92.65522162162164
cov_1-8-1,-0.00023151351351352
cov_1-8-2,-0.0005875135135135136
